Brest,48 23,4 29
Morlaix,48 39,2 00
Saint Pol de Léon,48 41,3 59
Roscoff,48 44,3 59
Chateaulin,48 12,4 05
Carhaix,48 17,3 34
Quimper,48 00,4 06
Pont L'Abbé,47 52,4 13
Quimperlé,47 52,3 33
Guingamp,48 34,3 09
Lannion,48 44,3 27
Paimpol,48 47,3 03
Saint Brieuc,48 31,2 46
Loudéac,48 11,2 45
Lamballe,48 28,2 31
Dinan,48 27,2 03
Dinard,48 38,2 04
Pontivy,48 04,2 59
Lorient,47 45,3 22
Auray,47 40,2 59
Vannes,47 39,2 46
La Roche Bernard,47 31,2 18
Ploermel,47 56,2 24
Saint Malo,48 39,2 00
Rennes,48 07,1 41
Fougères,48 21,1 12
Vitré,48 07,1 13
Redon,47 39,2 05
Nantes,47 13,1 33
Saint Nazaire,47 17,2 13
Ancenis,47 22,1 11
Pornic,47 07,2 06
Avranches,48 41,1 21
Caen,49 11,0 22
Cholet,47 04,0 53
La Roche sur Yon,46 40,1 25
La Rochelle,46 10,1 09
Angers,47 28,0 33
Laval,48 04,0 46
